,Unnamed: 0,age,human_norm_rating,human_rating,norm_r,norm_s,norm_t,post_tran,pre_tran,rotate,scale,session_id,spatial,category,translate,has_ref
84,84,6,-0.53510911925,1.0,-0.39388999664,-0.283707723176,-0.515292311717,-0.342064529657,-0.267979383469,0.0332697,0.08182925458,CDM_photodraw_e11532558017061,-1.19289003153,shape,0.0394396,True
85,85,6,-0.40961596026,1.0,1.57139014347,0.267146074397,0.982888611109,-0.35530140996,-0.0146446796134,0.254571,0.140099277915,CDM_photodraw_e11532558017061,2.82142482897,circle,0.163718,False
86,86,5,-0.262713541539,1.0,-0.259180736255,-0.0789145570146,-0.880834718964,-0.444783866405,-0.302347421646,0.0484387,0.103492539146,CDM_photodraw_e11532559138714,-1.21893001223,square,0.00911681,True
87,87,5,0.0415108132456,2.0,-0.465945108837,0.231604159845,-0.310257802328,-0.420739710331,-0.233080551028,0.0251559,0.136339608472,CDM_photodraw_e11532559138714,-0.54459875132,shape,0.0564478,True
88,88,5,0.278543007266,2.0,-0.631156439012,-0.765312047547,-0.321317094841,-0.415105253458,-0.147900775075,0.0065522,0.030884529604,CDM_photodraw_e11532559138714,-1.7177855814,circle,0.0555304,False
89,89,5,-1.09544511501,2.0,0.0455122688703,0.656040211388,-0.0064431002453,-0.719338536263,-0.172233521938,0.0827488,0.181237000006,CDM_photodraw_e11533072218503,0.695109380013,square,0.0816501,True
90,90,5,-0.185923092152,1.0,-0.317260506434,-0.281253526677,-0.700736177698,-0.301044911146,-0.2389729321,0.0418986,0.0820888626428,CDM_photodraw_e11533072218503,-1.29925021081,shape,0.0240565,True
91,91,5,-0.461557375421,1.0,0.259571135913,0.498022688533,1.04128321862,-0.477882862091,-0.0525158978999,0.106853,0.164521703162,CDM_photodraw_e11533072218503,1.79887704307,circle,0.168562,False
92,92,5,0.586372829096,2.0,-0.245871436463,-0.471984049035,-0.359916123287,-0.734801411629,-0.358240991831,0.0499374,0.0619131426288,CDM_photodraw_e11533073144281,-1.07777160878,square,0.0523285,True
93,93,5,0.75074848824,3.0,-0.29115342728,0.987852891209,-0.738446749791,-0.569968819618,-0.355424702168,0.0448384,0.216336572127,CDM_photodraw_e11533073144281,-0.0417472858624,shape,0.0209283,True
94,94,5,-0.126434925588,1.0,0.444650949724,-0.619246903835,-0.515227214508,-0.517606079578,-0.0981994792819,0.127694,0.0463354884065,CDM_photodraw_e11533073144281,-0.68982316862,circle,0.039445,False
95,95,5,-0.461557375421,1.0,-0.268367678695,0.0227432671547,-0.445910741925,-0.244188159704,0.0281633716077,0.0474042,0.114246034561,CDM_photodraw_e11533077186611,-0.691535153465,square,0.045195,True
96,96,5,0.271416066721,2.0,-0.672116615032,-0.163929411452,-0.486527783851,-0.458527326584,-0.337339490652,0.00193986,0.094499558479,CDM_photodraw_e11533077186611,-1.32257381034,shape,0.0418257,True
97,97,5,-0.356129328724,1.0,-0.160401345775,-0.40267223385,0.243733912601,-0.357208073139,-0.0713839605451,0.0595618,0.0692450356029,CDM_photodraw_e11533077186611,-0.319339667024,circle,0.102403,False
98,98,5,-1.26891814421,0.0,-0.387868086859,-0.562131569332,-0.701472740563,-0.398453712463,-0.257467210293,0.0339478,0.0523772219644,CDM_photodraw_e11533077471951,-1.65147239675,square,0.0239954,True
99,99,5,-0.511845974264,1.0,-0.599470590172,-0.212936645661,-0.48933660787,-0.548864841461,-0.339879453182,0.0101202,0.0893155102007,CDM_photodraw_e11533077471951,-1.3017438437,shape,0.0415927,True
100,100,5,-1.12049677858,0.0,0.321228884932,-0.456197736241,0.18088617379,-0.297400444746,-0.0115710794926,0.113796,0.0635830391039,CDM_photodraw_e11533077471951,0.0459173224806,circle,0.0971896,False
101,101,5,-0.461557375421,1.0,-0.522120886306,2.25058094646,0.000732058794932,-0.464606374502,-0.144241422415,0.0188302,0.349909570207,CDM_photodraw_e11533079562976,1.72919211895,shape,0.0822453,True
